スキー場名
丸沼高原スキー場
カムイみさかスキー場
ホワイトワールド尾瀬岩鞍
竜王スキーパーク
北志賀高原小丸山スキー場
斑尾高原スキー場
上越国際スキー場
草津温泉スキー場
白馬乗鞍温泉スキー場
戸狩温泉スキー場
つがいけマウンテンリゾート
湯沢中里スノーリゾート
川場スキー場
星野リゾート ネコマ マウンテン(旧アルツ磐梯＆猫魔スキー場）
野沢温泉スキー場
佐久スキーガーデン「パラダ」北パラダスキー場
赤倉温泉スキー場
夏油高原スキー場
石打丸山スキー場
EN RESORT Grandeco
蔵王温泉スキー場
ノルンみなかみスキー場
軽井沢プリンスホテルスキー場
妙高杉ノ原スキー場
アライマウンテンリゾート
